# MJD zeropoint
# subtract zeropoint from all fibre velocities in all orders as a function MJD
58376.088215 28.777398
58378.088215 28.777398
58379.088215 28.777398
58379.588215 28.777398
58380.419615 2.679948
58380.420625 2.056193
58380.421753 -2.668270
58380.440197 52.537919
58380.458507 47.392045
58380.475532 -10.080433
58380.487778 6.895458
58380.613111 20.155647
58380.631615 -1.250095
58380.635136 7.879127
58380.638657 7.390356
58380.640259 10.518919
58380.643449 3.799568
58380.646637 0.605098
58380.649826 3.754912
58380.651429 5.859929
58380.653017 0.135515
58380.667894 -9.280475
58380.707413 14.665072
58380.729155 9.645589
58380.747477 18.252916
58380.771366 25.319629
58380.795972 27.467596
58380.800352 15.498942
58380.802240 5.994382
58381.346775 3.274675
58381.367182 2.628607
58381.377002 19.553328
58381.391192 20.434476
58381.411435 21.508840
58381.436916 27.584118
58381.452465 27.103683
58381.467396 16.326373
58381.489630 23.757644
58381.499259 22.519214
58381.515012 15.031471
58381.534630 15.181278
58381.543542 10.838470
58381.554699 9.027084
58381.563692 11.093369
58381.579826 11.793063
58381.598137 11.571742
58381.606065 18.480039
58381.626377 3.247072
58381.627316 3.101055
58381.627773 2.536742
58381.628356 2.657214
58381.628893 2.682230
58381.641505 -5.790313
58381.650475 0.787374
58381.663090 4.744493
58381.671794 10.699536
58381.686984 9.937237
58381.687969 10.453735
58381.692261 9.319938
58381.705799 12.170737
58381.724028 11.073630
58381.739826 10.880613
58381.762523 2.328246
58381.770903 -4.838629
58381.782581 -8.643535
58381.796615 3.122563
58382.330513 3.199471
58382.360382 10.199584
58382.370775 2.477593
58382.384051 9.416943
58382.398762 8.044655
58382.417338 9.332117
58382.432888 -0.906718
58382.450399 -6.152149
58382.467801 5.644670
58382.504722 26.991427
58382.529826 10.396518
58382.544572 2.915461
58382.567978 1.381280
58382.593981 6.059661
58382.617436 19.421958
58382.646424 18.421150
58382.664248 12.889322
58382.684097 15.028260
58382.709502 19.185359
58382.723776 18.203243
58382.724653 17.535821
58382.725430 17.243965
58382.726137 17.013201
58382.726793 16.481181
