# MJD zeropoint
# subtract zeropoint from IFU fibre velocities in all orders, as a function MJD
58376.063345 62.014247
58378.063345 62.014247
58379.063345 62.014247
58379.563345 62.014247
58384.817083 24.148627
58385.756417 26.032049
58386.685160 29.180713
58438.497872 19.384287
58438.933365 18.175911
58439.330940 18.428229
58440.072749 19.867935
58440.435637 19.153062
58441.245773 19.180733
58446.643419 29.546523
58447.071647 29.295372
58447.930553 31.383611
58505.325675 29.571297
58505.892769 29.453256
58506.920050 31.594439
58508.119105 33.396322
58509.047294 32.497803
58509.694627 32.246419
58509.941753 32.616688
58510.515942 31.615169
58516.023613 27.785602
58516.218706 27.917879
58516.336617 27.751799
58582.775320 21.683898
58583.388459 20.147543
58584.082054 20.168956
58584.376163 20.729565
58584.842250 19.856483
58585.111843 19.854405
58586.065549 18.442736
58586.178461 18.443380
58586.537042 18.743185
58586.775575 18.683670
58587.013924 18.902782
58587.135715 18.951810
58587.345662 18.846551
58587.562307 18.590288
58587.774713 17.626415
58608.602883 23.272432
58608.685702 22.800406
58608.785297 22.873516
58608.892803 22.603816
58609.001694 22.521749
58609.107643 21.912084
58609.209715 21.978988
58609.302435 22.117055
58609.567528 21.542697
58615.086046 17.633129
58621.145897 21.979265
58621.340323 22.263746
58621.584975 22.322968
58623.246058 23.090989
58625.064121 22.260754
58625.293955 22.430804
58625.685612 22.081314
58625.805859 22.067092
58626.084639 21.726918
58626.448771 21.821541
58626.556330 21.821222
58627.491725 20.739898
58627.800382 20.788381
58628.019251 20.528327
58628.880455 19.710305
58628.992735 19.552763
58629.176777 19.594276
58629.599012 19.587058
58629.693192 19.551198
58629.883421 19.469335
58629.980248 19.357145
58630.316582 18.843928
58630.410427 18.658267
58635.792646 21.839891
58635.885289 21.664450
58636.023893 21.659088
58636.383470 21.670971
58636.500520 21.655934
58636.849236 22.101537
58637.412833 21.564586
58637.633696 21.149569
58637.728988 21.211659
58638.599643 20.437476
58638.788888 20.638139
58654.340377 22.771895
58654.449161 23.276034
58654.681009 23.637683
58654.988364 24.311372
58655.081840 24.383475
58655.186059 24.571968
58655.487861 25.098690
58655.696620 25.602440
58656.239305 26.197469
58656.476818 26.006384
58656.834279 25.920678
58657.179690 26.019887
58657.420951 26.307404
58657.735009 26.032420
58657.845107 25.809042
58658.050595 25.761018
58658.406345 25.225178
58658.547116 25.177154
58658.674782 24.860686
58687.432815 27.604693
58687.552290 27.661488
58687.664726 28.071724
58700.760273 26.842670
58738.947165 18.510637
58739.474159 17.726200
58739.602020 17.417913
58739.844755 16.290292
58739.984878 16.122481
58740.652490 13.661768
58740.931987 12.352298
58743.707921 8.260230
58744.554388 7.582307
58755.708631 28.317825
58756.063904 27.701010
58756.350840 27.041869
58759.187617 25.544942
58759.566900 25.379694
58759.937842 25.028455
58760.545765 25.401643
58760.621477 25.665717
58761.120962 26.698056
58761.273733 27.300392
58761.369926 27.403525
58761.696164 27.897457
58761.934021 27.839821
58762.370104 28.421242
58762.432274 28.504882
58762.487337 28.585260
58763.120693 28.565235
58763.175296 28.645982
58764.271475 29.499682
58765.098899 28.960393
58765.219064 28.968075
58765.980640 28.703243
58767.544714 28.374086
58767.900521 28.402907
58770.399448 25.865980
58770.903239 26.452222
58771.290987 26.252129
58771.926432 26.039635
58772.074112 25.404693
58772.664356 25.287600
58773.143981 25.189022
58773.438864 25.073945
58773.595983 24.544341
58774.316912 25.062861
58774.610069 25.407645
58775.600774 24.124308
58775.879296 24.097105
58776.433305 24.513229
58776.709961 24.285373
58776.986754 24.931418
58777.665024 25.311795
58778.506040 25.444812
58778.732899 25.590671
58778.850323 26.069223
58779.094150 25.439547
58779.222130 25.369513
58779.382977 25.315769
58781.161789 24.684261
58781.334056 24.644732
58782.278749 23.699446
58782.464110 23.476440
58782.902518 22.955375
58783.003226 22.758694
58783.152284 23.051689
58783.193907 22.989942
58786.514260 24.354636
58789.292902 27.028932
58789.906173 26.473811
58790.340749 26.067934
58790.469767 26.101007
58790.980893 26.016722
58791.530110 25.606539
58791.657090 25.564619
58829.437223 27.134955
58829.553611 27.078385
58829.877694 27.074067
58829.978020 27.183054
58830.307976 27.741948
58830.415536 27.869189
58830.532053 27.873287
58831.188642 28.210589
58831.416402 28.304613
58831.641524 28.202325
58832.350266 27.885185
58832.456034 27.810451
58832.676354 27.680289
58833.234203 27.586846
58833.461724 27.395221
58833.570232 27.448021
58834.167008 27.190218
58834.412789 27.022431
58834.665185 26.748603
58835.171050 26.210336
58835.421061 25.967132
58835.673512 26.070379
58836.435004 26.117745
58836.554260 26.028826
58837.231599 27.034543
58837.509457 27.151387
58837.785470 27.382268
58838.461296 27.686157
58838.610229 27.919218
58838.748864 27.717964
58839.546486 28.089248
58839.808699 28.117130
58840.213500 28.261514
58840.356526 28.406048
58841.238433 27.700241
58841.658914 27.442210
58841.796450 27.269490
58842.193403 26.523136
58842.472009 26.434476
58843.467122 26.555515
58843.599043 26.727010
58843.737557 26.881812
58844.040774 26.823765
58844.201753 26.828141
58844.354029 26.926257
58844.500538 26.914960
58844.614794 27.061002
58913.089766 28.441228
58913.255853 28.737681
58913.610763 28.910468
58913.696175 28.892719
58914.141251 29.154310
58914.270107 29.386819
58914.927204 30.744420
58915.197238 30.085829
58915.534485 29.848576
58921.659489 29.289148
58921.790595 29.560213
58922.225026 31.150616
58922.401577 31.269239
58922.499687 31.434381
58922.775310 31.370255
58923.303656 31.004388
58923.503948 30.951398
58923.705338 31.232836
58924.218443 31.265924
58924.427194 31.652383
58925.271286 32.356662
58925.373207 32.318930
58925.571621 32.333963
58926.181805 32.145386
58926.615597 32.001137
58926.834828 31.861389
58927.498821 31.926088
58927.685541 31.452184
58927.886796 31.396468
58928.407327 31.960759
58928.614334 32.017698
58928.717398 31.843241
58929.417134 31.105752
58929.520722 30.882780
58929.711915 30.936142
58929.913140 30.586018
58930.017832 30.544651
58930.113870 30.419751
58930.503605 29.478296
59005.074974 35.369793
59005.896546 41.126451
59006.096803 41.920873
59006.282980 41.693875
59006.485403 41.730609
59007.295213 44.429574
59008.577795 41.345463
59009.159523 39.651951
59025.082592 42.849263
59025.978712 41.627181
59028.146403 39.267220
59030.425632 51.938651
59032.304356 52.364204
59033.036528 50.231219
59033.194506 49.155870
59033.355771 48.397667
59033.512008 47.443556
59034.164611 43.760924
59034.497798 43.870745
59034.960784 42.968239
59035.410259 42.211587
59035.719027 39.613306
59036.047472 38.384610
59036.210416 38.466967
59036.570123 38.425802
59036.735360 38.831985
59081.856140 51.317196
59082.598717 46.696317
59083.362384 43.577620
59149.778606 45.421679
59267.931130 39.350720
59275.262636 41.271546
59275.480224 41.262525
59275.943016 41.316584
59276.621615 41.821196
59277.408973 41.558999
59278.097912 41.473699
59278.780045 41.539231
59278.998801 41.334240
59279.221034 41.352225
59279.619518 41.283017
