# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58375.164479 25.048165
67 58377.164479 25.048165
67 58378.164479 25.048165
67 58378.664479 25.048165
67 58378.705058 37.954589
67 58379.587910 33.005695
67 58380.424664 32.077464
67 58380.655737 33.782861
67 58380.703877 28.843386
67 58380.802182 26.892951
67 58381.447693 30.184541
67 58381.507227 29.569692
67 58381.543542 30.090822
67 58381.579826 32.744541
67 58381.619021 35.138555
67 58381.625125 34.259373
67 58381.631185 34.162528
67 58381.684291 31.766284
67 58381.689318 31.454124
67 58381.692427 31.830575
67 58381.739826 28.267705
67 58381.770903 30.837069
67 58382.330513 30.799578
67 58382.377103 26.727514
67 58382.384491 27.019354
67 58382.400636 27.993528
67 58382.420780 28.401263
67 58382.427848 28.663912
67 58382.467801 24.579293
67 58382.568077 26.948138
67 58382.573413 25.613991
67 58382.581490 22.967927
67 58382.594042 20.289708
67 58382.646424 8.062955
67 58382.695923 9.731118
67 58382.711913 12.371466
67 58382.717411 13.456932
67 58382.727703 13.496226
67 58382.730067 13.646005
67 58382.731835 13.626479
67 58382.742140 13.847447
67 58382.743575 13.803577
67 58382.745260 13.478253
67 58382.748499 13.176116
67 58382.750176 13.025360
67 58382.754064 12.787795
67 58382.755567 12.645775
67 58382.756872 12.595570
67 58382.759797 12.474618
67 58382.763148 11.979251
67 58383.420579 12.221590
67 58383.484671 4.833355
67 58383.531735 7.290216
67 58383.578588 9.197434
67 58383.582529 8.578187
67 58383.595854 6.912327
67 58383.609833 5.095223
67 58383.673095 13.586224
67 58383.723669 13.212243
67 58383.764468 12.681429
67 58384.384725 26.341318
67 58384.460035 25.572765
67 58384.698875 21.147337
67 58384.743847 21.025510
67 58384.773764 19.301910
67 58385.105294 13.904201
67 58385.171093 12.830077
67 58385.402797 15.611702
67 58385.406245 15.669573
67 58385.412094 15.370814
67 58385.421695 14.972328
67 58385.430684 14.824347
67 58385.441364 14.156660
67 58385.453142 13.186039
67 58385.500732 17.758798
67 58385.562824 18.196292
67 58385.595567 18.996043
67 58385.640360 15.819767
67 58385.722512 18.230832
67 58386.412106 17.554755
67 58386.464770 14.689474
67 58386.470011 14.542315
67 58386.482558 13.890282
67 58386.498493 13.404414
