# MJD orderslope
# subtract (m - 84) * orderslope from each order at MJD
58376.088215 -1.593700
58378.088215 -1.593700
58379.088215 -1.593700
58379.588215 -1.593700
58380.440571 -2.085081
58380.471942 -1.963409
58380.506547 -1.759181
58380.640891 -1.377009
58380.658293 -1.311111
58380.668950 -1.291133
58380.676235 -1.287448
58380.683064 -1.288828
58380.694903 -1.319033
58380.703394 -1.300806
58380.718100 -1.326683
58380.733777 -1.369445
58380.739584 -1.384470
58380.745994 -1.384656
58380.753146 -1.395130
58381.413099 -1.820761
58381.420279 -1.809859
58381.427566 -1.806915
58381.435214 -1.805260
58381.455643 -1.806315
58381.467866 -1.815953
58381.474379 -1.811378
58381.480650 -1.810222
58381.533398 -1.765512
58381.543222 -1.760403
58381.556300 -1.761997
58381.572972 -1.754788
58381.598251 -1.745624
58381.600715 -1.745991
58381.611111 -1.742561
58381.613934 -1.744748
58381.622825 -1.752668
58381.627193 -1.751666
58381.638164 -1.755909
58381.645488 -1.750881
58381.652952 -1.755896
58381.656489 -1.755494
58381.659695 -1.754750
58381.662835 -1.751168
58381.669014 -1.749909
58381.672112 -1.746097
58381.674908 -1.740941
58381.679605 -1.739984
58381.704287 -1.754599
58381.707427 -1.756328
58382.404715 -2.039159
58382.412408 -2.019394
58382.420795 -2.005263
58382.429047 -1.990841
58382.437531 -1.977670
58382.452202 -1.951704
58382.459471 -1.936280
58382.466380 -1.919989
58382.473399 -1.905297
58382.494472 -1.868238
58382.522554 -1.815696
58382.537557 -1.790259
58382.567313 -1.761303
58382.574454 -1.743539
58382.581093 -1.741083
58382.651216 -1.682155
58382.666596 -1.663790
58382.696734 -1.637512
58382.704963 -1.631260
58382.712465 -1.624522
58382.716110 -1.621756
58382.719437 -1.618188
58382.722616 -1.615083
58382.728511 -1.610298
58382.731537 -1.606952
58382.734306 -1.605939
58382.737040 -1.605848
58382.739555 -1.605734
58382.742023 -1.605724
58383.519246 -1.672467
58383.537248 -1.701065
58383.540344 -1.700472
58383.543485 -1.700794
58383.547170 -1.709225
58383.550888 -1.712887
58383.554700 -1.715215
58383.558508 -1.720611
58383.562469 -1.718875
58383.566304 -1.721121
58383.570445 -1.725213
58383.579850 -1.733585
58383.590100 -1.736641
58383.597849 -1.746299
58383.625682 -1.768224
58383.631948 -1.778383
58383.641970 -1.796279
58383.649213 -1.809836
58383.665426 -1.816946
58383.679335 -1.831766
58383.716346 -1.851560
58383.723385 -1.852619
58383.730082 -1.865737
58383.737255 -1.878623
58384.410418 -2.202082
58384.719576 -2.199662
58385.138193 -1.725032
58385.431749 -1.614109
58385.437418 -1.614318
58385.442945 -1.616502
58385.453076 -1.627637
58385.457649 -1.628498
58385.463165 -1.635063
58385.469519 -1.637336
58385.505024 -1.642593
58385.516944 -1.646475
58385.532960 -1.654145
58385.537180 -1.654351
58385.551212 -1.660636
58385.556338 -1.661964
58385.589005 -1.679724
58385.606054 -1.687790
58385.612084 -1.695257
58385.617929 -1.695881
58385.647971 -1.700685
58386.365666 -1.459272
58386.413576 -1.462178
58386.419292 -1.462650
58386.424984 -1.462083
58386.436428 -1.469942
58386.441792 -1.471452
